Repo_Name,Repo_URL,PRs_Total,Commits_With_Claude_Code_Signature,Commits_With_Cursor_Signature,Commits_With_GitHub_Copilot_Signature,Commits_With_Codex_Signature,Commits_With_Generic_AI_Marker_Signature,Total_AI_Signed_Commits_Any_Signature,Bot_Contributor_Accounts,Bot_Contributor_Count,Bot_Total_Contributions
cline,https://github.com/cline/cline,7369,70,41,53,0,1,165,"github-actions[bot], dependabot[bot], cline-cloud[bot], aikido-autofix[bot], mintlify[bot]",5,187
unity-mcp,https://github.com/CoplayDev/unity-mcp,825,122,1,11,1,22,157,github-actions[bot],1,211
MinerU,https://github.com/opendatalab/MinerU,1793,88,0,63,0,0,151,"github-actions[bot], Copilot",2,56
opencode,https://github.com/anomalyco/opencode,19600,34,3,35,0,75,147,"opencode-agent[bot], github-actions[bot]",2,1678
OpenHands,https://github.com/OpenHands/OpenHands,11325,102,35,5,5,0,147,"dependabot[bot], openhands-release-bot[bot]",2,1091
crewAI,https://github.com/crewAIInc/crewAI,4536,108,20,11,0,1,140,"devin-ai-integration[bot], dependabot[bot]",2,52
agents,https://github.com/livekit/agents,4859,114,17,4,0,0,135,"github-actions[bot], detail-app[bot], renovate[bot]",3,162
LangBot,https://github.com/langbot-app/LangBot,923,62,1,58,0,11,132,"Copilot, github-actions[bot], dependabot[bot], devin-ai-integration[bot]",4,119
claude-code,https://github.com/anthropics/claude-code,1276,67,0,0,0,62,129,claude[bot],1,1
letta,https://github.com/letta-ai/letta,2025,14,1,2,0,110,127,"github-actions[bot], letta-integration[bot]",2,43
agency-agents,https://github.com/msitarzewski/agency-agents,538,112,0,5,0,0,117,,0,0
memU,https://github.com/NevaMind-AI/memU,434,93,17,4,2,0,116,github-actions[bot],1,18
claude-obsidian,https://github.com/AgriciDaniel/claude-obsidian,98,112,0,2,0,0,114,,0,0
pipecat,https://github.com/pipecat-ai/pipecat,4134,76,8,9,0,3,96,"github-actions[bot], claude[bot], detail-app[bot]",3,132
mem0,https://github.com/mem0ai/mem0,4700,89,1,0,0,0,90,mintlify[bot],1,12
cc-switch,https://github.com/farion1231/cc-switch,1755,55,2,18,1,13,89,dependabot[bot],1,9
Vibe-Trading,https://github.com/HKUDS/Vibe-Trading,861,73,4,7,0,0,84,dependabot[bot],1,36
signoz,https://github.com/SigNoz/signoz,7832,69,2,3,0,9,83,"primus-bot[bot], dependabot[bot]",2,150
AstrBot,https://github.com/AstrBotDevs/AstrBot,2810,21,0,56,0,0,77,"dependabot[bot], pre-commit-ci[bot], Copilot",3,88
mcp-use,https://github.com/mcp-use/mcp-use,1802,21,21,30,1,4,77,"github-actions[bot], cubic-dev-ai[bot], claude[bot], dependabot[bot], Copilot",5,271
nofx,https://github.com/NoFxAiOS/nofx,752,25,0,0,1,50,76,,0,0
MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,5573,9,4,56,0,0,69,"github-actions[bot], pre-commit-ci[bot], dependabot[bot], Copilot",4,1483
AReaL,https://github.com/areal-project/AReaL,1233,48,2,9,0,10,69,,0,0
tradingview-mcp,https://github.com/tradesdontlie/tradingview-mcp,369,57,0,0,0,0,57,,0,0
nullclaw,https://github.com/nullclaw/nullclaw,631,47,0,0,6,3,56,"Copilot, dependabot[bot]",2,3
ClawRouter,https://github.com/BlockRunAI/ClawRouter,111,55,0,0,0,0,55,dependabot[bot],1,8
pi,https://github.com/earendil-works/pi,2932,13,1,38,0,1,53,github-actions[bot],1,188
agent-browser,https://github.com/vercel-labs/agent-browser,1130,50,0,3,0,0,53,"github-actions[bot], vercel[bot], Copilot",3,71
CowAgent,https://github.com/zhayujie/CowAgent,676,14,38,0,0,0,52,,0,0
prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,1252,17,0,31,0,1,49,"github-actions[bot], dependabot[bot]",2,126
Agent-Reach,https://github.com/Panniantong/Agent-Reach,424,47,0,0,0,0,47,,0,0
qm,https://github.com/yc-software/qm,531,44,1,0,2,0,47,dependabot[bot],1,2
langchain4j,https://github.com/langchain4j/langchain4j,3286,32,1,12,0,2,47,"renovate[bot], dependabot[bot], github-actions[bot]",3,265
deepchat,https://github.com/ThinkInAIXYZ/deepchat,1454,17,0,15,0,15,47,"Copilot, google-labs-jules[bot], dependabot[bot]",3,7
nacos,https://github.com/alibaba/nacos,5360,10,8,4,0,19,41,dependabot[bot],1,22
gpt-researcher,https://github.com/assafelovic/gpt-researcher,1123,26,7,8,0,0,41,"dependabot[bot], google-labs-jules[bot]",2,36
superagent,https://github.com/superagent-ai/superagent,693,13,15,0,0,13,41,,0,0
OpenHarness,https://github.com/HKUDS/OpenHarness,190,21,0,19,0,0,40,Copilot,1,3
FastGPT,https://github.com/labring/FastGPT,3992,13,6,18,0,2,39,"dependabot[bot], gru-agent[bot], imgbot[bot], Copilot",4,105
osaurus,https://github.com/osaurus-ai/osaurus,2074,18,17,2,0,1,38,"github-actions[bot], sentry[bot]",2,479
spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,2142,8,0,29,0,0,37,,0,0
DB-GPT,https://github.com/eosphoros-ai/DB-GPT,1383,30,3,3,0,0,36,Copilot,1,2
autogen,https://github.com/microsoft/autogen,3733,2,0,33,0,0,35,"dependabot[bot], Copilot, startrightprod[bot]",3,49
agent-zero,https://github.com/agent0ai/agent-zero,893,18,2,10,0,5,35,,0,0
medusa,https://github.com/medusajs/medusa,11341,17,0,12,0,5,34,"github-actions[bot], dependabot[bot]",2,660
dexter,https://github.com/virattt/dexter,189,10,22,0,0,0,32,,0,0
OpenMontage,https://github.com/calesthio/OpenMontage,358,31,0,0,0,0,31,,0,0
MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,413,25,0,0,0,0,25,Copilot,1,3
openhanako,https://github.com/liliMozi/openhanako,0,11,14,0,0,0,25,,0,0
lotti,https://github.com/matthiasn/lotti,3830,24,0,0,0,0,24,"dependabot[bot], dependabot-preview[bot]",2,35
camel,https://github.com/camel-ai/camel,2651,12,0,8,0,0,20,"dependabot[bot], Copilot",2,30
LlamaFactory,https://github.com/hiyouga/LlamaFactory,1506,12,2,5,0,0,19,Copilot,1,5
rig,https://github.com/0xPlaygrounds/rig,1498,11,3,4,0,1,19,"github-actions[bot], dependabot[bot]",2,102
Upsonic,https://github.com/Upsonic/Upsonic,422,15,3,0,0,1,19,"github-actions[bot], deepsource-autofix[bot], deepsource-io[bot]",3,16
claw-code,https://github.com/ultraworkers/claw-code,385,15,0,0,0,0,15,,0,0
ten-framework,https://github.com/TEN-framework/ten-framework,1733,8,0,5,0,0,13,,0,0
JeecgBoot,https://github.com/jeecgboot/JeecgBoot,521,7,0,5,0,0,12,,0,0
agenticSeek,https://github.com/Fosowl/agenticSeek,276,4,0,7,0,0,11,google-labs-jules[bot],1,1
DocsGPT,https://github.com/arc53/DocsGPT,2004,5,0,3,0,3,11,"dependabot[bot], github-actions[bot], Copilot",3,385
symphony,https://github.com/openai/symphony,78,0,0,0,10,0,10,,0,0
