Repo_Name,Repo_URL,Has_SECURITY_File_In_Docs,Has_README_In_Docs,Total_Doc_Files_Scanned,SECURITY_MD_Char_Count,Has_Contact_Channel,Has_Response_SLA,Has_Supported_Versions,Has_PGP_Key,Sandboxing,Human_Approval_Gate,Tool_Allow_Deny_List,Rate_Limiting,Credential_Handling,Prompt_Injection_Awareness,Audit_Logging,Guardrail_Signal_Count
mcp-use,https://github.com/mcp-use/mcp-use,True,True,452,1073,True,True,False,False,True,True,True,True,True,False,False,5
nanobot,https://github.com/HKUDS/nanobot,True,True,103,14588,True,False,False,False,True,False,True,True,True,False,True,5
nullclaw,https://github.com/nullclaw/nullclaw,True,True,57,20265,True,True,True,False,True,False,True,True,True,False,True,5
openhanako,https://github.com/liliMozi/openhanako,True,True,60,2705,True,True,False,False,True,True,True,True,False,False,True,5
pipecat,https://github.com/pipecat-ai/pipecat,True,True,55,86,True,False,False,False,True,True,True,True,False,False,True,5
prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,True,True,148,1268,True,False,False,False,True,True,True,True,True,False,False,5
superagent,https://github.com/superagent-ai/superagent,True,True,57,1290,True,False,True,False,True,False,True,True,False,True,True,5
AReaL,https://github.com/areal-project/AReaL,False,True,189,0,False,False,False,False,True,True,True,True,False,False,False,4
DB-GPT,https://github.com/eosphoros-ai/DB-GPT,False,True,704,0,False,False,False,False,True,True,False,True,True,False,False,4
LangBot,https://github.com/langbot-app/LangBot,False,True,100,0,False,False,False,False,True,False,True,True,False,False,True,4
MIRIX,https://github.com/Mirix-AI/MIRIX,False,True,80,0,False,False,False,False,True,True,False,False,True,False,True,4
NagaAgent,https://github.com/RTGS2017/NagaAgent,False,True,71,0,False,False,False,False,False,False,True,True,False,True,True,4
autogen,https://github.com/microsoft/autogen,True,True,195,2654,True,False,False,True,True,True,False,False,True,True,False,4
bisheng,https://github.com/dataelement/bisheng,True,True,361,1698,False,True,True,False,True,True,True,True,False,False,False,4
claude-obsidian,https://github.com/AgriciDaniel/claude-obsidian,True,True,86,3584,True,False,False,False,True,True,True,False,False,True,False,4
cockpit-tools,https://github.com/jlcodes99/cockpit-tools,True,True,53,1452,True,False,True,False,True,False,True,True,True,False,False,4
openagent,https://github.com/the-open-agent/openagent,True,True,69,554,True,False,False,False,True,True,False,True,False,False,True,4
rig,https://github.com/0xPlaygrounds/rig,False,True,64,0,False,False,False,False,False,True,True,True,True,False,False,4
DojoAgents,https://github.com/Alpha-Dojo/DojoAgents,False,True,116,0,False,False,False,False,True,False,True,True,False,False,False,3
MetaGPT,https://github.com/FoundationAgents/MetaGPT,True,True,96,322,True,False,True,False,True,False,True,True,False,False,False,3
OpenHands,https://github.com/OpenHands/OpenHands,False,True,32,0,False,False,False,False,True,False,True,False,True,False,False,3
OpenMemory,https://github.com/CaviraOSS/OpenMemory,True,True,67,1757,False,False,False,False,False,False,True,True,False,False,True,3
TencentDB-Agent-Memory,https://github.com/TencentCloud/TencentDB-Agent-Memory,False,True,70,0,False,False,False,False,False,False,False,True,True,True,False,3
anything-llm,https://github.com/Mintplex-Labs/anything-llm,True,True,36,6354,True,False,True,False,True,True,False,False,False,False,True,3
meetily,https://github.com/Zackriya-Solutions/meetily,False,True,29,0,False,False,False,False,True,False,False,True,True,False,False,3
pgai,https://github.com/timescale/pgai,True,True,72,1282,True,False,True,False,False,True,False,True,True,False,False,3
symphony,https://github.com/openai/symphony,False,True,28,0,False,False,False,False,True,True,False,True,False,False,False,3
1Panel,https://github.com/1Panel-dev/1Panel,True,True,22,615,True,False,True,False,False,False,True,False,False,False,True,2
Crucix,https://github.com/calesthio/Crucix,True,True,8,1220,True,False,False,False,False,False,False,True,False,True,False,2
LlamaFactory,https://github.com/hiyouga/LlamaFactory,True,True,106,548,True,False,False,False,False,True,False,False,False,False,True,2
MaaAssistantArknights,https://github.com/MaaAssistantArknights/MaaAssistantArknights,True,True,313,1264,True,False,True,False,False,False,True,False,False,True,False,2
MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,True,True,8,1134,True,False,True,False,False,True,False,True,False,False,False,2
Open-Assistant,https://github.com/LAION-AI/Open-Assistant,False,True,151,0,False,False,False,False,True,False,False,False,False,True,False,2
OpenBB,https://github.com/OpenBB-finance/OpenBB,True,True,86,373,True,False,False,False,True,False,False,True,False,False,False,2
OpenHarness,https://github.com/HKUDS/OpenHarness,False,True,21,0,False,False,False,False,True,False,False,False,False,False,True,2
agenticSeek,https://github.com/Fosowl/agenticSeek,True,True,29,1026,True,True,True,False,True,False,False,False,False,True,False,2
agents,https://github.com/livekit/agents,False,True,138,0,False,False,False,False,True,False,False,True,False,False,False,2
budibase,https://github.com/Budibase/budibase,True,True,67,422,False,False,False,False,False,False,False,True,False,False,True,2
dexter,https://github.com/virattt/dexter,False,True,10,0,False,False,False,False,False,False,True,False,True,False,False,2
khoj,https://github.com/khoj-ai/khoj,False,True,67,0,False,False,False,False,True,False,False,False,True,False,False,2
mcp-chrome,https://github.com/hangwin/mcp-chrome,False,True,26,0,False,False,False,False,True,False,False,True,False,False,False,2
rasa,https://github.com/RasaHQ/rasa,False,True,138,0,False,False,False,False,False,False,False,False,True,False,True,2
speech-to-speech,https://github.com/huggingface/speech-to-speech,False,True,16,0,False,False,False,False,False,False,False,True,False,True,False,2
susi_server,https://github.com/fossasia/susi_server,False,True,51,0,False,False,False,False,True,False,False,True,False,False,False,2
CopyTranslator,https://github.com/CopyTranslator/CopyTranslator,False,True,46,0,False,False,False,False,True,False,False,False,False,False,False,1
